x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
54.9264,29.356735,21.6352,2.5838475,6.5563803,4.669787,6,5,28.356735,14.801402,6.2284517,13.532406,21.234749,39.582325,0.5219042,0.11,3960.0,46.22602,0.3412458,10808.337,386.23788,92.54257,12.58922,11699.947,91.24359
58.5264,36.020737,26.435202,3.3632944,5.3342166,4.4167643,6,5,35.020737,18.002508,5.9186153,16.669544,23.344585,35.91767,0.6828596,0.11,3960.0,48.825195,0.5378598,6927.2915,390.1766,92.071175,12.587969,7415.903,89.34834
54.5664,26.310335,21.155201,2.955557,8.664744,2.43695,8,5,25.310335,11.881983,5.463288,11.916279,21.819912,28.12408,0.4810566,0.11,3960.0,32.40909,0.3568872,10037.459,375.13135,90.02954,12.586104,10936.162,88.190285
55.1664,23.454336,31.9552,2.8360412,8.484138,4.1583447,5,7,22.454336,10.081015,7.3718944,10.518158,20.211306,40.178997,0.7051251,0.11,3960.0,43.52275,0.442087,11179.347,517.55054,92.73181,17.62227,12682.827,91.49718
58.7664,30.118336,36.7552,2.115488,7.261974,3.905322,5,7,29.118336,16.282122,7.062058,14.030296,22.321142,33.54956,0.8762049,0.11,3960.0,39.566082,0.6872731,7422.8433,534.23,92.3882,17.623137,8150.3335,89.19708
53.9664,29.166336,10.3552,3.075073,8.845351,3.715555,11,3,28.166336,13.682951,3.5546806,13.3144,23.42852,24.49133,0.2961313,0.11,3960.0,27.695421,0.1719208,12123.841,218.27158,88.01424,7.5534983,13430.368,84.09064
54.7104,22.768896,15.3472,2.2063546,8.30062,2.342876,6,4,21.768896,10.850788,7.6701317,10.332859,19.685068,20.438578,0.3719164,0.11,3960.0,23.212654,0.1268553,21868.635,290.50858,87.309166,10.070285,23448.043,80.65149
58.3104,29.432896,20.147202,2.9866657,9.613088,4.7352014,8,6,28.432896,14.050165,4.8256645,13.469782,24.329535,37.252354,0.5499926,0.11,3960.0,40.662018,0.5125234,8052.7803,432.20337,91.25242,15.093482,9358.24,90.66582
57.9504,26.386496,19.6672,3.3583755,11.721452,2.5023642,9,6,25.386496,11.130746,4.0605,11.853654,24.9147,25.232178,0.4887386,0.11,3960.0,27.632195,0.4396318,9337.438,429.87823,89.27376,15.108557,10438.209,87.478165
55.3392,23.964607,18.985601,2.8368254,11.540263,4.1163864,7,7,22.964607,10.443927,4.147033,10.773098,23.522568,33.563354,0.4723605,0.11,3960.0,35.36803,0.3732569,11952.047,467.17407,90.94558,17.623127,14838.02,90.09022
58.9392,30.628609,23.7856,2.1162722,10.318099,3.8633635,7,8,29.628609,16.645033,3.837197,14.285236,25.632402,32.404087,0.6187191,0.11,3960.0,35.928276,0.715741,7520.759,563.6976,91.055595,20.140738,8860.8,88.14935
51.8592,26.249409,34.3456,2.932611,6.191674,4.46834,5,3,25.249409,11.884356,6.6132216,11.891551,19.316378,24.641058,0.6426271,0.11,3960.0,28.490988,0.2328617,9604.754,234.21399,91.31697,7.552775,10149.554,89.49691
